Type,Origin,Destination
Delivery,B2, 71.998604634,  18.9986637035,  9.7556 
Return, 71.9987260147,  18.9986368922,  13.7522311783 , Y1   
Delivery,A3, 72.0013382182,  19.0002254548,  9.75524994407 
Return, 72.0011821588,  18.999937967,  12.9219155884 , Y3   
Delivery,B3, 72.00049695,  19.0009116678,  16.605268543 
Return, 72.0006425931,  19.0009015106,  16.6052665593 , Y2   
Delivery,C2, 71.9994007479,  18.9998514793,  13.7574172348 
Return, 71.9997186648,  18.999856787,  13.7547231293 , X1   
Delivery,A1, 72.0008224534,  18.99993956,  17.4189912398 
Return, 72.0007156873,  18.9998941351,  17.4665418243 , Z1   
Delivery,C3, 71.9999818783,  19.0004347735,  16.6052727343 
Return, 71.9997695902,  19.0003613122,  11.0204520798 , Z3   
Delivery,B1, 71.99977196,  19.0002075686,  12.2690667075 
Return, 71.9997695902,  19.0003613122,  11.0204520798 , Z3   
Delivery,C1, 72.0005295595,  19.0000249789,  22.1052575684 
Return, 72.0007156873,  18.9998941351,  17.4665418243 , Z1   
